"LOAD_BATCH_ID","ROW_ID","ORDER_ID","ORDER_DATE","SHIP_DATE","SHIP_MODE","CUSTOMER_ID","CUSTOMER_NAME","SEGMENT","COUNTRY","CITY","STATE_PROVINCE","POSTAL_CODE","REGION","PRODUCT_ID","CATEGORY","SUB_CATEGORY","PRODUCT_NAME","SALES","QUANTITY","DISCOUNT","PROFIT","RETURNED"
"1","1","US-2023-103800","2023-01-03","2023-01-07","Standard Class","DP-13000","Darren Powers","Consumer","United States","Houston","Texas","77095","Central","OFF-PA-10000174","Office Supplies","Paper","Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book","16.448","2","0.2","5.551199999999998","No"
"1","2","US-2023-112326","2023-01-04","2023-01-08","Standard Class","PO-19195","Phillina Ober","Home Office","United States","Naperville","Illinois","60540","Central","OFF-BI-10004094","Office Supplies","Binders","GBC Standard Plastic Binding Systems Combs","3.539999999999999","2","0.8","-5.487","No"
"1","3","US-2023-112326","2023-01-04","2023-01-08","Standard Class","PO-19195","Phillina Ober","Home Office","United States","Naperville","Illinois","60540","Central","OFF-LA-10003223","Office Supplies","Labels","Avery 508","11.784","3","0.2","4.271699999999999","No"
"1","4","US-2023-112326","2023-01-04","2023-01-08","Standard Class","PO-19195","Phillina Ober","Home Office","United States","Naperville","Illinois","60540","Central","OFF-ST-10002743","Office Supplies","Storage","SAFCO Boltless Steel Shelving","272.736","3","0.2","-64.77480000000001","No"
"1","5","US-2023-141817","2023-01-05","2023-01-12","Standard Class","MB-18085","Mick Brown","Consumer","United States","Philadelphia","Pennsylvania","19143","East","OFF-AR-10003478","Office Supplies","Art","Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack","19.536","3","0.2","4.884","No"
"1","6","US-2023-167199","2023-01-06","2023-01-10","Standard Class","ME-17320","Maria Etezadi","Home Office","United States","Henderson","Kentucky","42420","South","FUR-CH-10004063","Furniture","Chairs","Global Deluxe High-Back Manager's Chair","2573.82","9","0.0","746.4077999999997","No"
"1","7","US-2023-167199","2023-01-06","2023-01-10","Standard Class","ME-17320","Maria Etezadi","Home Office","United States","Henderson","Kentucky","42420","South","OFF-AR-10001662","Office Supplies","Art","Rogers Handheld Barrel Pencil Sharpener","5.48","2","0.0","1.4796000000000005","No"
"1","8","US-2023-106054","2023-01-06","2023-01-07","First Class","JO-15145","Jack O'Briant","Corporate","United States","Athens","Georgia","30605","South","OFF-AR-10002399","Office Supplies","Art","Dixon Prang Watercolor Pencils, 10-Color Set with Brush","12.78","3","0.0","5.2398","No"
"1","9","US-2023-167199","2023-01-06","2023-01-10","Standard Class","ME-17320","Maria Etezadi","Home Office","United States","Henderson","Kentucky","42420","South","OFF-BI-10004632","Office Supplies","Binders","Ibico Hi-Tech Manual Binding System","609.98","2","0.0","274.491","No"
"1","10","US-2023-167199","2023-01-06","2023-01-10","Standard Class","ME-17320","Maria Etezadi","Home Office","United States","Henderson","Kentucky","42420","South","OFF-FA-10001883","Office Supplies","Fasteners","Alliance Super-Size Bands, Assorted Sizes","31.12","4","0.0","0.3111999999999995","No"
